yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Ratings,Age,VisitFrequency,Gender
No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,-3,-3,61,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+2,+2,51,Every three months,Female
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+1,+1,62,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+4,+4,69,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+2,+2,49,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,55,Every three months,Male
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,+2,+2,56,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,23,Once a week,Female
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,58,Once a year,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,32,Every three months,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-2,-2,53,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+3,+3,28,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,0,65,Every three months,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,+5,54,Once a month,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,-3,67,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,51,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,0,34,Once a month,Female
Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,+2,+2,31,Once a month,Male
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-4,-4,47,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I love it!+5,+5,37,More than once a week,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+2,+2,41,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,+2,+2,36,Once a month,Male
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-2,-2,23,Once a week,Female
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,+5,50,More than once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,+2,39,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,0,35,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,0,20,Every three months,Male
No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,0,0,34,Once a month,Female
No,Yes,No,No,No,Yes,No,No,No,No,No,0,0,55,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,24,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,44,Once a month,Male
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,40,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,55,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,37,Never,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,+4,48,Once a week,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,-2,54,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,38,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,49,Every three months,Female
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,35,Never,Female
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,-4,55,Once a year,Male
Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,+2,+2,31,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,+3,57,More than once a week,Male
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,+4,69,More than once a week,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,+3,37,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,60,Never,Male
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+2,+2,36,Once a month,Male
No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,+1,+1,54,Every three months,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,+4,66,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,32,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,67,Once a year,Male
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,-4,42,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,26,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,58,Once a year,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,48,Once a month,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,+4,54,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,62,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,52,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,0,53,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,47,More than once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,26,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,I love it!+5,+5,29,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,+3,24,Once a week,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,25,Once a week,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,0,54,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,23,Once a month,Female
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,0,0,34,Never,Female
No,Yes,No,No,No,No,No,No,Yes,No,No,+1,+1,47,Every three months,Male
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,+3,22,Once a week,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,0,47,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,56,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,-1,55,Every three months,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,56,Every three months,Female
No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,0,56,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,37,Every three months,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,50,Once a week,Female
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,-1,40,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,61,Once a week,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-2,-2,55,Every three months,Male
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,-1,45,Once a year,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,+1,42,Once a month,Male
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,+2,+2,52,Every three months,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,58,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,48,Once a month,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,58,Once a week,Male
No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,-3,18,Once a year,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,+4,68,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+1,+1,49,Once a month,Female
No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,I hate it!-5,-5,50,Once a week,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,+2,43,Every three months,Female
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,+4,+4,67,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,40,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I hate it!-5,-5,35,Never,Male
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,42,Every three months,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,41,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,+4,32,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+3,+3,21,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,56,Once a week,Female
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,+2,+2,27,Every three months,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,0,48,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,32,Once a week,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+3,+3,50,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,+2,42,Once a year,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,+5,35,More than once a week,Male
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,57,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,+3,68,Once a month,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+3,+3,51,Once a month,Female
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,-2,-2,42,Every three months,Female
No,Yes,No,Yes,No,No,No,No,No,No,No,0,0,44,Every three months,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,+2,57,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,56,Once a year,Female
No,Yes,Yes,Yes,No,No,No,No,No,No,No,-2,-2,57,Every three months,Female
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,+5,33,Once a week,Female
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,-3,63,Every three months,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,+2,55,Once a month,Male
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,0,39,Every three months,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,-3,65,Never,Male
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,+4,47,Once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,+1,37,Every three months,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,-1,22,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,-2,51,Every three months,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,24,Once a month,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,+1,49,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,+5,55,Once a month,Female
